
2021-06-27T16:03:43 | Chess | play | LOG | -----------------NEW MCTS ITERATION----------------- | 
2021-06-27T16:03:43 | Chess | play | LOG | ------------White deciding move-------------- | 
2021-06-27T16:03:43 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:03:43 | Chess | get_best | LOG | Found leaf node with Node ID: 7, Node Level: 1, Node Index: 6, Parent ID: 0 | 
2021-06-27T16:03:43 | Chess | rollout | LOG | Rollout took 0.13529253005981445 seconds, Result:[DRAW] | 
2021-06-27T16:03:43 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:03:43 | Chess | get_best | LOG | Found leaf node with Node ID: 8, Node Level: 1, Node Index: 7, Parent ID: 0 | 
2021-06-27T16:03:43 | Chess | rollout | LOG | Rollout took 0.13469338417053223 seconds, Result:[DRAW] | 
2021-06-27T16:03:43 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:03:43 | Chess | get_best | LOG | Found leaf node with Node ID: 17, Node Level: 1, Node Index: 16, Parent ID: 0 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.115020751953125 seconds, Result:[DRAW] | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 48, Node Level: 2, Node Index: 6, Parent ID: 8 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.0947561264038086 seconds, Result:[DRAW] | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 13, Node Level: 1, Node Index: 12, Parent ID: 0 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.07001233100891113 seconds, Result:[WIN] 1 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 14, Node Level: 1, Node Index: 13, Parent ID: 0 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.2252182960510254 seconds, Result:[DRAW] | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 74, Node Level: 2, Node Index: 12, Parent ID: 7 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.07016324996948242 seconds, Result:[LOSE] 1 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 101, Node Level: 2, Node Index: 19, Parent ID: 14 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.15297293663024902 seconds, Result:[DRAW] | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 19, Node Level: 1, Node Index: 18, Parent ID: 0 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.1406702995300293 seconds, Result:[DRAW] | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 102, Node Level: 2, Node Index: 0, Parent ID: 13 | 
2021-06-27T16:03:44 | Chess | rollout | LOG | Rollout took 0.16195917129516602 seconds, Result:[DRAW] | 
2021-06-27T16:03:44 | Chess | play | LOG | ------------White selected move: d2d3, moveIndex: 8------------ | 
2021-06-27T16:03:44 | Chess | play | LOG | Board FEN after move 1: rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1 | 
2021-06-27T16:03:44 | Chess | play | LOG | -------------Black deciding move-------------- | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:03:44 | Chess | get_best | LOG | Found leaf node with Node ID: 30, Node Level: 1, Node Index: 8, Parent ID: 21 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.1621685028076172 seconds, Result:[DRAW] | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 128, Node Level: 2, Node Index: 6, Parent ID: 30 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.0851128101348877 seconds, Result:[WIN] 2 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 141, Node Level: 2, Node Index: 19, Parent ID: 30 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.16231560707092285 seconds, Result:[DRAW] | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 151, Node Level: 3, Node Index: 9, Parent ID: 141 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.10725831985473633 seconds, Result:[DRAW] | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 135, Node Level: 2, Node Index: 13, Parent ID: 30 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.07980704307556152 seconds, Result:[DRAW] | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 140, Node Level: 2, Node Index: 18, Parent ID: 30 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.08011507987976074 seconds, Result:[WIN] 2 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 125, Node Level: 2, Node Index: 3, Parent ID: 30 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.09981417655944824 seconds, Result:[DRAW] | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 127, Node Level: 2, Node Index: 5, Parent ID: 30 | 
2021-06-27T16:03:45 | Chess | rollout | LOG | Rollout took 0.1401832103729248 seconds, Result:[DRAW] | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:03:45 | Chess | get_best | LOG | Found leaf node with Node ID: 131, Node Level: 2, Node Index: 9, Parent ID: 30 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.15998339653015137 seconds, Result:[DRAW] | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 136, Node Level: 2, Node Index: 14, Parent ID: 30 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.1301283836364746 seconds, Result:[DRAW] | 
2021-06-27T16:03:46 | Chess | play | LOG | -------------Black selected move: b8c6, moveIndex: 2------------- | 
2021-06-27T16:03:46 | Chess | play | LOG | Board FEN after move 1: r1bqkbnr/pppppppp/2n5/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 1 2 | 
2021-06-27T16:03:46 | Chess | play | LOG | ------------White deciding move-------------- | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 171, Node Level: 2, Node Index: 2, Parent ID: 9 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.1651003360748291 seconds, Result:[DRAW] | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 198, Node Level: 3, Node Index: 9, Parent ID: 171 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.1796863079071045 seconds, Result:[DRAW] | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 193, Node Level: 3, Node Index: 4, Parent ID: 171 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.07179689407348633 seconds, Result:[LOSE] 1 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 212, Node Level: 3, Node Index: 23, Parent ID: 171 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.13479280471801758 seconds, Result:[DRAW] | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 195, Node Level: 3, Node Index: 6, Parent ID: 171 | 
2021-06-27T16:03:46 | Chess | rollout | LOG | Rollout took 0.10740780830383301 seconds, Result:[DRAW] | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:03:46 | Chess | get_best | LOG | Found leaf node with Node ID: 189, Node Level: 3, Node Index: 0, Parent ID: 171 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.1738729476928711 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 213, Node Level: 3, Node Index: 24, Parent ID: 171 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.10987639427185059 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 211, Node Level: 3, Node Index: 22, Parent ID: 171 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.18198657035827637 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 196, Node Level: 3, Node Index: 7, Parent ID: 171 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.11148452758789062 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 219, Node Level: 4, Node Index: 3, Parent ID: 198 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.15691566467285156 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | play | LOG | ------------White selected move: f2f4, moveIndex: 22------------ | 
2021-06-27T16:03:47 | Chess | play | LOG | Board FEN after move 2: r1bqkbnr/pppppppp/2n5/8/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2 | 
2021-06-27T16:03:47 | Chess | play | LOG | -------------Black deciding move-------------- | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 260, Node Level: 3, Node Index: 22, Parent ID: 124 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.15525102615356445 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 266, Node Level: 4, Node Index: 1, Parent ID: 260 | 
2021-06-27T16:03:47 | Chess | rollout | LOG | Rollout took 0.11320853233337402 seconds, Result:[DRAW] | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:03:47 | Chess | get_best | LOG | Found leaf node with Node ID: 281, Node Level: 4, Node Index: 16, Parent ID: 260 | 
2021-06-27T16:03:48 | Chess | rollout | LOG | Rollout took 0.10093808174133301 seconds, Result:[DRAW] | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Found leaf node with Node ID: 277, Node Level: 4, Node Index: 12, Parent ID: 260 | 
2021-06-27T16:03:48 | Chess | rollout | LOG | Rollout took 0.06984519958496094 seconds, Result:[DRAW] | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Found leaf node with Node ID: 265, Node Level: 4, Node Index: 0, Parent ID: 260 | 
2021-06-27T16:03:48 | Chess | rollout | LOG | Rollout took 0.08974266052246094 seconds, Result:[WIN] 2 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Found leaf node with Node ID: 267, Node Level: 4, Node Index: 2, Parent ID: 260 | 
2021-06-27T16:03:48 | Chess | rollout | LOG | Rollout took 0.21518921852111816 seconds, Result:[DRAW] | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Found leaf node with Node ID: 303, Node Level: 5, Node Index: 16, Parent ID: 267 | 
2021-06-27T16:03:48 | Chess | rollout | LOG | Rollout took 0.14546489715576172 seconds, Result:[DRAW] | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Found leaf node with Node ID: 275, Node Level: 4, Node Index: 10, Parent ID: 260 | 
2021-06-27T16:03:48 | Chess | rollout | LOG | Rollout took 0.1499767303466797 seconds, Result:[DRAW] | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:03:48 | Chess | get_best | LOG | Found leaf node with Node ID: 269, Node Level: 4, Node Index: 4, Parent ID: 260 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.18520450592041016 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 330, Node Level: 5, Node Index: 19, Parent ID: 281 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.10993623733520508 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | play | LOG | -------------Black selected move: d7d6, moveIndex: 12------------- | 
2021-06-27T16:03:49 | Chess | play | LOG | Board FEN after move 2: r1bqkbnr/ppp1pppp/2np4/8/5P2/3P4/PPP1P1PP/RNBQKBNR w KQkq - 0 3 | 
2021-06-27T16:03:49 | Chess | play | LOG | ------------White deciding move-------------- | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 348, Node Level: 4, Node Index: 12, Parent ID: 211 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.12018418312072754 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 374, Node Level: 5, Node Index: 16, Parent ID: 348 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.1450648307800293 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 370, Node Level: 5, Node Index: 12, Parent ID: 348 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.05008101463317871 seconds, Result:[LOSE] 1 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 377, Node Level: 5, Node Index: 19, Parent ID: 348 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.14777684211730957 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 376, Node Level: 5, Node Index: 18, Parent ID: 348 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.14006280899047852 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 364, Node Level: 5, Node Index: 6, Parent ID: 348 | 
2021-06-27T16:03:49 | Chess | rollout | LOG | Rollout took 0.16753101348876953 seconds, Result:[DRAW] | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:03:49 | Chess | get_best | LOG | Found leaf node with Node ID: 371, Node Level: 5, Node Index: 13, Parent ID: 348 | 
2021-06-27T16:03:50 | Chess | rollout | LOG | Rollout took 0.0702517032623291 seconds, Result:[LOSE] 1 | 
2021-06-27T16:03:50 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:03:50 | Chess | get_best | LOG | Found leaf node with Node ID: 385, Node Level: 6, Node Index: 3, Parent ID: 376 | 
2021-06-27T16:03:50 | Chess | rollout | LOG | Rollout took 0.18972492218017578 seconds, Result:[DRAW] | 
2021-06-27T16:03:50 | Chess | get_best | LOG | Running iteration 8 | 
